"x" "y" "layer.1" "layer.2" "layer.3" "layer.4" "layer.5" "layer.6" "layer.7" "reino" "ids"
"91" -143 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4451
"92" -141 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4452
"93" -139 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4453
"94" -137 -3 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4454
"95" -179 -5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4579
"96" -177 -5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4580
"97" -175 -5 19104.32557 327.1607739 -3.245686983 0.801336472 0.510480089 -0.20312109 16 "17" 4581
"98" -173 -5 19996.64163 321.4987882 -3.655087024 0.796226282 0.532570617 0.127405565 17 "17" 4582
"99" -171 -5 19996.64163 321.4987882 -3.655087024 0.796226282 0.532570617 0.127405565 17 "17" 4583
"100" -169 -5 19996.64163 321.4987882 -3.655087024 0.796226282 0.532570617 0.127405565 17 "17" 4584
"101" -167 -5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4585
"102" -165 -5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4586
"103" -163 -5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4587
"104" -161 -5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4588
"105" -159 -5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4589
"106" -157 -5 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 4590
"107" -155 -5 21475.1738 350.3228942 -3.062633936 0.780212202 0.486763089 -0.475337929 17 "17" 4591
"108" -153 -5 19779.18165 333.0115436 -2.722814416 0.715603741 0.50699872 -0.852490901 13 "17" 4592
