"x" "y" "meantemp" "rangetemp" "clorofil" "oxygen" "icecover" "ph" "phyto" "primaryprod" "salinity" "reino" "ids"
"263" -111 -27 22.69 6.247 0.022 219.692 0 8.208 0.349 0 36.075 10 6203
"264" -111 -29 21.871 7.478 0.022 223.413 0 8.207 0.351 0 35.769 10 6346
"265" -111 -3 24.884 7.031 0.248 213.965 0 8.206 1.546 0.015 34.998 22 4467
"266" -111 -31 20.732 8.648 0.026 228.408 0 8.206 0.374 0 35.342 10 6491
"267" -111 -33 19.454 9.361 0.052 235.211 0 8.205 0.593 0 34.908 10 6642
"268" -111 -35 17.999 9.749 0.11 242.944 0 8.204 1.047 0.002 34.507 10 6800
"269" -111 -37 16.521 9.309 0.169 250.79 0 8.202 1.335 0.003 34.229 10 6966
"270" -111 -39 14.982 8.371 0.23 259.065 0 8.199 1.432 0.005 34.095 10 7135
"271" -111 -41 13.37 7.301 0.26 267.503 0 8.196 1.446 0.006 34.058 10 7310
"272" -111 -43 11.87 6.527 0.266 275.362 0 8.193 1.422 0.005 34.078 10 7486
"273" -111 -45 10.532 6.037 0.268 283.481 0 8.188 1.402 0.004 34.13 30 7662
"274" -111 -47 9.286 5.522 0.281 290.912 0 8.184 1.399 0.004 34.18 30 7838
"275" -111 -5 25.263 5.6 0.242 213.692 0 8.206 1.489 0.014 35.058 22 4613
"276" -111 -7 25.501 4.455 0.232 212.549 0 8.206 1.466 0.012 35.162 22 4758
"277" -111 -9 25.459 3.979 0.215 211.974 0 8.206 1.481 0.01 35.342 22 4903
"278" -111 1 24.902 7.022 0.232 207.945 0 8.208 1.62 0.013 34.616 22 4172
"279" -111 11 28.08 2.909 0.159 203.968 0 8.218 1.536 0.006 33.423 22 3432
"280" -111 13 27.967 3.049 0.138 204.318 0 8.221 1.411 0.005 33.593 22 3286
"281" -111 15 27.54 4.086 0.098 205.482 0 8.226 1.123 0.003 33.84 22 3143
"282" -111 17 26.836 5.494 0.064 207.028 0 8.234 0.855 0.001 34.143 12 3004
"283" -111 19 25.922 6.906 0.054 209.583 0 8.243 0.778 0.001 34.315 12 2867
